identificador,captador,fecha_lectura,tipo_polinico,granos_de_polen_x_metro_cubico
136,ALCA,2025-01-05T00:00:00,Abedul,
137,ALCA,2025-01-05T00:00:00,Aligustre,
138,ALCA,2025-01-05T00:00:00,Aliso,
139,ALCA,2025-01-05T00:00:00,Arce,
140,ALCA,2025-01-05T00:00:00,Artemisia,
141,ALCA,2025-01-05T00:00:00,Castaño,
142,ALCA,2025-01-05T00:00:00,Compuestas,
143,ALCA,2025-01-05T00:00:00,Corylus,
144,ALCA,2025-01-05T00:00:00,Cupresáceas/Taxáceas,
145,ALCA,2025-01-05T00:00:00,Ericaceae,
146,ALCA,2025-01-05T00:00:00,Eucalipto,
147,ALCA,2025-01-05T00:00:00,Fresno,
148,ALCA,2025-01-05T00:00:00,Gramíneas,
149,ALCA,2025-01-05T00:00:00,Moreras,
150,ALCA,2025-01-05T00:00:00,Olivo,
151,ALCA,2025-01-05T00:00:00,Olmos,
152,ALCA,2025-01-05T00:00:00,Otros,
153,ALCA,2025-01-05T00:00:00,Pinos,
154,ALCA,2025-01-05T00:00:00,Plantago,
155,ALCA,2025-01-05T00:00:00,Plátano de paseo,
156,ALCA,2025-01-05T00:00:00,PNI (Polen no identificado),
157,ALCA,2025-01-05T00:00:00,Populus,
158,ALCA,2025-01-05T00:00:00,Quenopodiáceas/Amarantáceas,
159,ALCA,2025-01-05T00:00:00,Quercus,
160,ALCA,2025-01-05T00:00:00,Rumex (Acederas),
161,ALCA,2025-01-05T00:00:00,Sauces,
162,ALCA,2025-01-05T00:00:00,Urticaceae (Ortigas),
163,ALCA,2025-01-06T00:00:00,Abedul,
164,ALCA,2025-01-06T00:00:00,Aligustre,
165,ALCA,2025-01-06T00:00:00,Aliso,
166,ALCA,2025-01-06T00:00:00,Arce,
167,ALCA,2025-01-06T00:00:00,Artemisia,
168,ALCA,2025-01-06T00:00:00,Castaño,
169,ALCA,2025-01-06T00:00:00,Compuestas,
170,ALCA,2025-01-06T00:00:00,Corylus,
171,ALCA,2025-01-06T00:00:00,Cupresáceas/Taxáceas,
172,ALCA,2025-01-06T00:00:00,Ericaceae,
173,ALCA,2025-01-06T00:00:00,Eucalipto,
174,ALCA,2025-01-06T00:00:00,Fresno,
175,ALCA,2025-01-06T00:00:00,Gramíneas,
176,ALCA,2025-01-06T00:00:00,Moreras,
177,ALCA,2025-01-06T00:00:00,Olivo,
178,ALCA,2025-01-06T00:00:00,Olmos,
179,ALCA,2025-01-06T00:00:00,Otros,
180,ALCA,2025-01-06T00:00:00,Pinos,
181,ALCA,2025-01-06T00:00:00,Plantago,
182,ALCA,2025-01-06T00:00:00,Plátano de paseo,
183,ALCA,2025-01-06T00:00:00,PNI (Polen no identificado),
184,ALCA,2025-01-06T00:00:00,Populus,
185,ALCA,2025-01-06T00:00:00,Quenopodiáceas/Amarantáceas,
186,ALCA,2025-01-06T00:00:00,Quercus,
187,ALCA,2025-01-06T00:00:00,Rumex (Acederas),
188,ALCA,2025-01-06T00:00:00,Sauces,
189,ALCA,2025-01-06T00:00:00,Urticaceae (Ortigas),
190,ALCA,2025-01-07T00:00:00,Abedul,
191,ALCA,2025-01-07T00:00:00,Aligustre,
192,ALCA,2025-01-07T00:00:00,Aliso,
193,ALCA,2025-01-07T00:00:00,Arce,
194,ALCA,2025-01-07T00:00:00,Artemisia,
195,ALCA,2025-01-07T00:00:00,Castaño,
196,ALCA,2025-01-07T00:00:00,Compuestas,
197,ALCA,2025-01-07T00:00:00,Corylus,
198,ALCA,2025-01-07T00:00:00,Cupresáceas/Taxáceas,
199,ALCA,2025-01-07T00:00:00,Ericaceae,
200,ALCA,2025-01-07T00:00:00,Eucalipto,
201,ALCA,2025-01-07T00:00:00,Fresno,
202,ALCA,2025-01-07T00:00:00,Gramíneas,
203,ALCA,2025-01-07T00:00:00,Moreras,
204,ALCA,2025-01-07T00:00:00,Olivo,
205,ALCA,2025-01-07T00:00:00,Olmos,
206,ALCA,2025-01-07T00:00:00,Otros,
207,ALCA,2025-01-07T00:00:00,Pinos,
208,ALCA,2025-01-07T00:00:00,Plantago,
209,ALCA,2025-01-07T00:00:00,Plátano de paseo,
210,ALCA,2025-01-07T00:00:00,PNI (Polen no identificado),
211,ALCA,2025-01-07T00:00:00,Populus,
212,ALCA,2025-01-07T00:00:00,Quenopodiáceas/Amarantáceas,
213,ALCA,2025-01-07T00:00:00,Quercus,
214,ALCA,2025-01-07T00:00:00,Rumex (Acederas),
215,ALCA,2025-01-07T00:00:00,Sauces,
216,ALCA,2025-01-07T00:00:00,Urticaceae (Ortigas),
217,ALCA,2025-01-08T00:00:00,Abedul,
218,ALCA,2025-01-08T00:00:00,Aligustre,
219,ALCA,2025-01-08T00:00:00,Aliso,
220,ALCA,2025-01-08T00:00:00,Arce,
221,ALCA,2025-01-08T00:00:00,Artemisia,
222,ALCA,2025-01-08T00:00:00,Castaño,
223,ALCA,2025-01-08T00:00:00,Compuestas,
224,ALCA,2025-01-08T00:00:00,Corylus,
225,ALCA,2025-01-08T00:00:00,Cupresáceas/Taxáceas,
226,ALCA,2025-01-08T00:00:00,Ericaceae,
227,ALCA,2025-01-08T00:00:00,Eucalipto,
228,ALCA,2025-01-08T00:00:00,Fresno,
229,ALCA,2025-01-08T00:00:00,Gramíneas,
230,ALCA,2025-01-08T00:00:00,Moreras,
231,ALCA,2025-01-08T00:00:00,Olivo,
232,ALCA,2025-01-08T00:00:00,Olmos,
233,ALCA,2025-01-08T00:00:00,Otros,
234,ALCA,2025-01-08T00:00:00,Pinos,
235,ALCA,2025-01-08T00:00:00,Plantago,
236,ALCA,2025-01-08T00:00:00,Plátano de paseo,
